building_id,latitude,longitude,Energy_Consumption,CO2_Usage,Water_Usage,Energy_Intensity,CO2_Intensity,true_energy_label,true_ges_label,adresse_ban,numero_voie_ban,nom_rue_ban,code_postal_ban,nom_commune_ban,identifiant_ban,adresse_brut,nom_commune_brut,code_postal_brut,annee_construction,surface_habitable_immeuble,log1p_Energy_Consumption,log1p_CO2_Usage,log1p_Energy_Intensity,log1p_CO2_Intensity,city,year,PC1,PC2,cluster
2284E1165371G,43.87197898605874,5.195223960240157,17143.1,1325.9,5142.929999999999,192.0,14.0,G,C,110 Chemin des Martins 84220 Gordes,110,Chemin des Martins,84220,Gordes,84050_0545_00110,"110, Hameau Les Martins",GORDES,84220,,,9.74940937008087,7.190600673542391,5.262690188904886,2.70805020110221,gordes,2024,0.33639034186265954,0.4646442097762369,2
2284E1147122J,43.886216022406536,5.1675420499982625,9451.4,723.0,2835.4199999999996,105.0,8.0,D,B,Les Imberts 84220 Gordes,,,84220,Gordes,84050_7lah4v,"277, Chemin des Prés",LES IMBERTS,84220,1991.0,,9.154023956497278,6.584791392385716,4.663439094112067,2.1972245773362196,gordes,2024,-1.0262226615518024,0.24686767012992122,0
2184E0373048G,43.876382005406924,5.190826032632069,17367.8,2118.9,5210.339999999999,102.0,12.0,C,C,389 Chemin de Fontcaudette 84220 Gordes,389,Chemin de Fontcaudette,84220,Gordes,84050_0288_00389,"389 , chemin de fontcaudette",GORDES,84220,1978.0,,9.762430772220027,7.659124196742207,4.634728988229636,2.5649493574615367,gordes,2024,-0.01356274413220758,-0.4108302891960025,0
2184E0387158Y,43.91923896357449,5.202420949879403,9938.9,737.3,2981.6699999999996,58.0,4.0,C,A,Route de Murs 84220 Gordes,,,84220,Gordes,84050_0580,3TER Route de Murs,GORDES,84220,1947.0,,9.20431223923784,6.60435024606512,4.07753744390572,1.6094379124341003,gordes,2024,-1.7666444162910544,-0.6285201129911869,3
2184E0051403H,43.88826495916311,5.178589055057464,32080.3,5794.6,9624.09,200.0,36.0,D,D,85 Chemin de la Dragonne 84220 Gordes,85,Chemin de la Dragonne,84220,Gordes,84050_0210_00085,"85, Chemin de la Dragonne
Quartier Gravelier de la Senancole
Hameau les Imberts",GORDES,84220,1989.0,,10.376028584850161,8.664854287946568,5.303304908059076,3.6109179126442243,gordes,2024,1.8873565076375827,-0.06151674467004821,1
2184E0606622W,43.912730017647455,5.197812972609831,8432.5,637.2,2529.75,162.0,12.0,F,C,Rue de la Combe 84220 Gordes,,,84220,Gordes,84050_0130,Rue de la Combe,GORDES,84220,1947.0,,9.03996714869807,6.4586517138441435,5.093750200806762,2.5649493574615367,gordes,2024,-0.6127606886909771,0.9538917064335205,0
2184E0307845L,43.88632297424306,5.218267980688624,59490.7,15908.3,17847.21,475.0,127.0,G,G,77 Chemin des Coucourdons 84220 Gordes,77,Chemin des Coucourdons,84220,Gordes,84050_0140_00077,"77, chemin des Coucourdons",GORDES,84220,1975.0,,10.993592086004957,9.674659122878056,6.16541785423142,4.852030263919617,gordes,2024,4.050219173805575,0.5602488094392906,1
2184E0900340S,43.87617102616449,5.1946010379409255,9365.1,704.4,2809.53,86.0,6.0,D,B,1735 Route des Beaumettes 84220 Gordes,1735,Route des Beaumettes,84220,Gordes,84050_0063_01735,"1735, Route des Beaumettes",GORDES,84220,1947.0,,9.144852066602995,6.558765017801951,4.465908118654584,1.9459101490553132,gordes,2024,-1.3354379897887123,-0.04094489695057884,0
2184E0058736I,43.914946972128234,5.234423015434296,8822.2,645.9,2646.6600000000003,39.0,2.0,B,A,391 Chemin du Bois dâ€™Audibert 84220 Gordes,391,Chemin du Bois dâ€™Audibert,84220,Gordes,84050_0073_00391,"Résidence Les Bastides- Les Cortasses
391, Chemin du Bois d'Audibert",GORDES,84220,2013.0,,9.085139894991936,6.4721917230499395,3.6888794541139363,1.0986122886681098,gordes,2024,-2.479509913223811,-1.106991176638728,3
2184E0264232A,43.8867839970101,5.168108952694416,37106.1,11195.4,11131.83,249.0,75.0,F,F,16 Chemin des Trois Places 84220 Gordes,16,Chemin des Trois Places,84220,Gordes,84050_0879_00016,"16, Chemin des 3 Places",GORDES,84220,1947.0,,10.521563604948804,9.323347577042522,5.521460917862246,4.330733340286331,gordes,2024,2.831242748380908,0.12236619755411916,1
2184E0127340Y,43.91854499877508,5.194675988273074,9288.0,610.3,2786.4,108.0,7.0,D,B,Route de Senanque 84220 Gordes,,,84220,Gordes,84050_0810,"Bastide de Léa
Route de Sénanque",GORDES,84220,1989.0,,9.136586183387521,6.415587837034679,4.6913478822291435,2.0794415416798357,gordes,2024,-1.1548681842612762,0.2996112558217519,0
2184E0242959V,43.87484598764646,5.191196965746645,9139.6,709.7,2741.88,68.0,5.0,C,A,587 Chemin de Fontcaudette 84220 Gordes,587,Chemin de Fontcaudette,84220,Gordes,84050_0288_00587,587 chemin de Fontcaudette,GORDES,84220,2013.0,,9.120481307807847,6.56625039983285,4.23410650459726,1.791759469228055,gordes,2024,-1.6107134723057075,-0.32714213073220005,3
2184E0550656I,43.91288099724327,5.194571994974315,5462.3,403.0,1638.69,117.0,8.0,E,B,34 Domaine des Bastidons 84220 Gordes,34,Domaine des Bastidons,84220,Gordes,84050_6f3393_00034,"Le Mirabeau
34, Domaine les Bastidons
8, Chemin des Mians",GORDES,84220,1989.0,,8.605808281769884,6.0014148779611505,4.770684624465665,2.1972245773362196,gordes,2024,-1.5232878466526432,0.919386855592772,3
2184E0039833H,43.90685699624431,5.222704055571117,7125.2,522.4,2137.56,71.0,5.0,C,A,954 Chemin de Font-Blanche 84220 Gordes,954,Chemin de Font-Blanche,84220,Gordes,84050_0284_00954,"954 CHEMIN DE LA CAPOUNE
QUARTIER FONT BLANCHE",GORDES,84220,2006.0,,8.87153341200825,6.260345990096045,4.276666119016055,1.791759469228055,gordes,2024,-1.858898457001787,-0.013587188038753376,3
2184E0093510U,43.91854499877508,5.194675988273074,12055.9,897.2,3616.77,86.0,6.0,D,B,Route de Senanque 84220 Gordes,,,84220,Gordes,84050_0810,"Le Clos des Chênes
Route de Sénanque",GORDES,84220,1989.0,,9.397392389145784,6.800392760653637,4.465908118654584,1.9459101490553132,gordes,2024,-1.0804269339536574,-0.2904656923555349,0
2184E0550209D,43.87804103723487,5.21063899615927,2777.4,199.3,833.22,78.0,5.0,C,A,Ancien Chemin des Beaumettes 84220 Gordes,,,84220,Gordes,84050_0064,"Chemin Moulin des Roberts
LE MOULIN BLANC",BEAUMETTES-GORDES,84220,1948.0,,7.929630501429864,5.299816242671772,4.3694478524670215,1.791759469228055,gordes,2024,-2.7647718267805215,1.0332329996268383,3
2184E0603431D,43.888910959862834,5.179592022054333,6571.9,489.4,1971.5699999999997,59.0,4.0,C,A,104bis Chemin de la Dragonne 84220 Gordes,104bis,Chemin de la Dragonne,84220,Gordes,84050_0210_00104_bis,"104 B Chemin de la Dragonne
Les Imberts",GORDES,84220,2013.0,,8.790710414394614,6.195221384622002,4.0943445622221,1.6094379124341003,gordes,2024,-2.1772464778529286,-0.19788214053268693,3
2184E0606569V,43.912730017647455,5.197812972609831,7284.0,543.0,2185.2,112.0,8.0,E,B,Rue de la Combe 84220 Gordes,,,84220,Gordes,84050_0130,Rue de la Combe,GORDES,84220,1947.0,,8.893572718629306,6.298949246855942,4.727387818712341,2.1972245773362196,gordes,2024,-1.256197349320129,0.5827818317326177,3
2184E0050842S,43.903498027795756,5.226863993129113,14455.8,902.5,4336.74,120.0,7.0,D,B,Chemin de la Capoune 84220 Gordes,,,84220,Gordes,84050_0103,"253, Chemin du Bois
La Capoune",GORDES,84220,2006.0,,9.578920171083954,6.806276110032283,4.795790545596741,2.0794415416798357,gordes,2024,-0.6424282358688221,-0.01873982528569902,0
2184E0414363H,43.90376496650785,5.194708974654844,22894.3,1776.7,6868.29,176.0,13.0,F,C,1190 Route des Moines 84220 Gordes,1190,Route des Moines,84220,Gordes,84050_0565_01190,"1190, Route des Moines",GORDES,84220,1983.0,,10.038686928303012,7.483075672928639,5.176149732573829,2.6390573296152584,gordes,2024,0.5302961677848592,0.05694437495070754,2
2184E0532807V,43.9051189797964,5.225995944248921,8384.8,627.1,2515.4399999999996,75.0,5.0,C,A,Chemin des Pourquiers 84220 Gordes,,,84220,Gordes,84050_0710,Les Pourquiers,GORDES,84220,1989.0,,9.034295078173713,6.442699389460335,4.330733340286331,1.791759469228055,gordes,2024,-1.6416514947602152,-0.12829596986044994,3
2184E0473021J,43.90314899385824,5.196222057377208,16263.8,845.0,4879.139999999999,70.0,3.0,C,A,Chemin des Escortiels 84220 Gordes,,,84220,Gordes,84050_0240,Chemin des Escortiels,GORDES,84220,2013.0,,9.696758542490013,6.740519359606223,4.2626798770413155,1.3862943611198906,gordes,2024,-1.3985411840961637,-0.8957686093763055,0
2184E0059120C,43.9105070144366,5.229732994368488,17863.5,1010.4,5359.05,94.0,5.0,C,A,3688 Route des Trois Soldats 84220 Gordes,3688,Route des Trois Soldats,84220,Gordes,84050_0880_03688,"3688, Route des 3 Soldats
Sauvestre de Véroncle",GORDES,84220,1989.0,,9.79057078238043,6.919090788645883,4.553876891600541,1.791759469228055,gordes,2024,-0.8144678639469713,-0.5592313627978837,0
2184E0257100S,43.9050179903165,5.225955022926943,20197.7,1541.4,6059.31,103.0,7.0,D,B,169 Chemin des Pourquiers 84220 Gordes,169,Chemin des Pourquiers,84220,Gordes,84050_0710_00169,"169, Les Pourquiers",GORDES,84220,2001.0,,9.913373524882688,7.341094923856281,4.6443908991413725,2.0794415416798357,gordes,2024,-0.32737921152368,-0.5804156015913525,0
2184E0265368S,43.9118959731827,5.201273050019691,18148.1,1351.7,5444.429999999999,70.0,5.0,C,A,Rue Saint Pons 84220 Gordes,,,84220,Gordes,84050_0804,Rue Saint Pons,GORDES,84220,1947.0,,9.806376251686672,7.209857874095148,4.2626798770413155,1.791759469228055,gordes,2024,-0.9017375452475307,-0.9710408807341961,0
2184E0551642G,43.88840200382196,5.178421005075104,17497.5,1287.8,5249.25,46.5,3.4,B,A,Chemin de la Dragonne 84220 Gordes,,,84220,Gordes,84050_0210,Quartier la Dragonne,GORDES,84220,2003.0,,9.769870441952213,7.161466831862764,3.8607297110405954,1.4816045409242156,gordes,2024,-1.426362558415147,-1.4664845547555008,0
2184E0594159N,43.9051189797964,5.225995944248921,5004.4,378.7,1501.32,29.0,2.0,A,A,Chemin des Pourquiers 84220 Gordes,,,84220,Gordes,84050_0710,Lot B 2 Les Pourquiers - Les Bastides de Fontblanque,GORDES,84220,2013.0,,8.518272608635801,5.939381467237757,3.4011973816621555,1.0986122886681098,gordes,2024,-3.2678038506975766,-0.8455925175759907,3
2184E0559695Z,43.87804103723487,5.21063899615927,3074.9,219.5,922.47,87.0,6.0,D,A,Ancien Chemin des Beaumettes 84220 Gordes,,,84220,Gordes,84050_0064,"Chemin Moulin des Roberts
LE MOULIN BLANC",BEAUMETTES-GORDES,84220,1948.0,,8.031352820344155,5.395897694886901,4.477336814478207,1.9459101490553132,gordes,2024,-2.4933466888359366,1.1053722767426393,3
2184E0386443L,43.876297999721665,5.195225961157865,25180.4,1954.0,7554.12,179.8,13.9,F,C,Les Bouilladoires 84220 Gordes,,,84220,Gordes,84050_7a94dz,Les Bouilladoires,GORDES,84220,1900.0,,10.133860905735022,7.578145472419466,5.1973914479580765,2.7013612129514133,gordes,2024,0.6794396984377153,0.008137406833960574,2
2184E0165881H,43.898814027431314,5.195040049832663,45625.7,3557.2,13687.71,200.0,15.0,G,C,Beaumes Brunes 84220 Gordes,,,84220,Gordes,84050_B014,45 Chemin des Mians,GORDES,84220,1989.0,,10.728248350464618,8.177010078000675,5.303304908059076,2.772588722239781,gordes,2024,1.4137969346406125,-0.45266659284057115,2
2184E0386436E,43.87346800263829,5.178436988670281,30288.3,2325.2,9086.49,126.0,9.0,E,B,446 Chemin du Serre 84220 Gordes,446,Chemin du Serre,84220,Gordes,84050_0820_00446,446 Chemin du Serre,GORDES,84220,1978.0,,10.31854979381697,7.751991313904939,4.844187086458591,2.302585092994046,gordes,2024,0.3701882534322174,-0.6948871311196188,0
2184E0470718U,43.875275994640425,5.183311995533219,19424.9,1115.6,5827.47,71.0,4.0,C,A,942 Chemin des Gros 84220 Gordes,942,Chemin des Gros,84220,Gordes,84050_0340_00942,"942, Chemin des Gros",GORDES,84220,2013.0,,9.874362506208884,7.01804363287626,4.276666119016055,1.6094379124341003,gordes,2024,-1.036313521163652,-1.0059006870051128,0
2184E0594160O,43.9051189797964,5.225995944248921,5004.4,378.7,1501.32,29.0,2.0,A,A,Chemin des Pourquiers 84220 Gordes,,,84220,Gordes,84050_0710,Lot B 2 Les Pourquiers - Les Bastides de Fontblanque,GORDES,84220,2013.0,,8.518272608635801,5.939381467237757,3.4011973816621555,1.0986122886681098,gordes,2024,-3.2678038506975766,-0.8455925175759907,3
2184E0504922I,43.9051189797964,5.225995944248921,5934.2,440.7,1780.26,30.0,2.0,A,A,Chemin des Pourquiers 84220 Gordes,,,84220,Gordes,84050_0710,Lot B 3 Les Pourquiers - Les Bastides de Fontblanque,GORDES,84220,2013.0,,8.688656004875316,6.090630918602481,3.4339872044851463,1.0986122886681098,gordes,2024,-3.0757777263373685,-0.9761248404436617,3
2184E0059116Y,43.9105070144366,5.229732994368488,16302.3,924.7,4890.69,85.0,4.0,C,A,3688 Route des Trois Soldats 84220 Gordes,3688,Route des Trois Soldats,84220,Gordes,84050_0880_03688,"3688, Route des 3 Soldats
Sauvestre de Véroncle",GORDES,84220,1989.0,,9.69912282029154,6.8305502080731655,4.454347296253507,1.6094379124341003,gordes,2024,-1.0859672474022581,-0.6433636387450389,0
2184E0994136G,43.87804103723487,5.21063899615927,3074.9,219.5,922.47,87.0,6.0,D,A,Ancien Chemin des Beaumettes 84220 Gordes,,,84220,Gordes,84050_0064,"Chemin Moulin des Roberts
LE MOULIN BLANC",BEAUMETTES-GORDES,84220,1948.0,,8.031352820344155,5.395897694886901,4.477336814478207,1.9459101490553132,gordes,2024,-2.4933466888359366,1.1053722767426393,3
2284E0664628X,43.92481402391048,5.204204023495555,11528.0,867.9,3458.4,97.0,7.0,D,B,1563 Route de Murs 84220 Gordes,1563,Route de Murs,84220,Gordes,84050_0580_01563,1563 Route de Murs,GORDES,84220,2001.0,,9.352620879232953,6.767228043845161,4.584967478670572,2.0794415416798357,gordes,2024,-0.955254338110381,-0.07418991890126052,0
2184E1032060W,43.876297999721665,5.195225961157865,25397.5,1970.8,7619.25,181.3,14.0,F,C,Les Bouilladoires 84220 Gordes,,,84220,Gordes,84050_7a94dz,Les Bouilladoires,GORDES,84220,1900.0,,10.142445396144696,7.586702110140941,5.205653681684617,2.70805020110221,gordes,2024,0.6983395370294975,0.010682620982101237,2
2284E1024202R,43.938578966842876,5.207971969576661,44572.3,3467.6,13371.69,239.0,18.0,G,C,Chemin de la Gardette 84220 Gordes,,,84220,Gordes,84050_0299,La GARDETTE,GORDES,84220,,,10.704890304034356,8.151506333316485,5.480638923341991,2.9444389791664403,gordes,2024,1.6211617919923778,-0.17792448286248141,2
2284E1392569Q,43.875265022011206,5.183423957945177,16219.9,1202.2,4865.969999999999,55.0,4.0,C,A,939 Chemin des Gros 84220 Gordes,939,Chemin des Gros,84220,Gordes,84050_0340_00939,939 Chemin des Gros,GORDES,84220,,,9.694055813183075,7.092739953195576,4.02535169073515,1.6094379124341003,gordes,2024,-1.3034357873557105,-1.172968630858108,0
2284E0640854N,43.91923896357449,5.202420949879403,17646.5,1921.3,5293.95,130.0,14.0,E,C,Route de Murs 84220 Gordes,,,84220,Gordes,84050_0580,Route de Murs,GORDES,84220,1970.0,,9.778349409269627,7.561277664758815,4.875197323201151,2.70805020110221,gordes,2024,0.2179257829135466,-0.08275784688193492,2
2284E0332572N,43.87307898927369,5.183271059232117,15715.3,1209.8,4714.589999999999,174.0,13.0,F,C,1491 Chemin des Gros 84220 Gordes,1491,Chemin des Gros,84220,Gordes,84050_0340_01491,1491 Chemin des GROS,GORDES,84220,1947.0,,9.662453669322835,7.099036577147563,5.1647859739235145,2.6390573296152584,gordes,2024,0.1312599999087943,0.4255051866011506,2
2284E1122185G,43.912492962777016,5.19619795500533,4770.3,7.2,1431.09,98.7,7.1,D,B,8 Chemin des Mians 84220 Gordes,8,Chemin des Mians,84220,Gordes,84050_0550_00008,8 ch des mians   Appartement 29,Gordes,84220,1997.0,,8.47037408343864,2.1041341542702074,4.602165676967792,2.0918640616783932,gordes,2024,-3.481404205665461,2.167735610317524,3
2284E0927057I,43.91335804029198,5.202613057652695,30327.7,1735.4,9098.31,151.0,8.0,E,B,119 Route Neuve 84220 Gordes,119,Route Neuve,84220,Gordes,84050_0600_00119,"119, Route Neuve",GORDES,84220,1948.0,,10.319849737911081,7.459569283425439,5.0238805208462765,2.1972245773362196,gordes,2024,0.32235842844765034,-0.45008500049332956,2
2284E1488624B,43.88853097223086,5.177295001252779,12139.4,918.8,3641.8199999999997,99.1,7.5,D,B,233 Chemin de la Dragonne 84220 Gordes,233,Chemin de la Dragonne,84220,Gordes,84050_0210_00233,de la Dragonne,GORDES,84220,2002.0,,9.404294012999845,6.824156255105823,4.6061696863211745,2.1400661634962708,gordes,2024,-0.8495040042240083,-0.08195401779405619,0
2246E0250220R,43.88240696263354,5.191849957165254,18790.5,3094.2,5637.15,174.0,28.6,D,C,Route de Saint Pantaleon 84220 Gordes,,,84220,Gordes,84050_0803,de Saint Pantaleon,SAUZET,46140,2003.0,,9.841159918917937,8.037607803386303,5.1647859739235145,3.3877743613300146,gordes,2024,1.0657010948415582,0.27655687743183954,2
2284E0648668B,43.89232701627601,5.224464984800157,28186.7,8986.6,8456.01,218.0,69.0,E,E,2684 Route des Adams 84220 Gordes,2684,Route des Adams,84220,Gordes,84050_0006_02684,"2684, Route des ADAMS",GORDES,84220,1976.0,,10.246640991563543,9.103601128532075,5.389071729816501,4.248495242049359,gordes,2024,2.4248734613944363,0.21003580715503053,1
2284E1000190D,43.87804103723487,5.21063899615927,4038.1,290.4,1211.4299999999998,95.0,6.0,D,B,Ancien Chemin des Beaumettes 84220 Gordes,,,84220,Gordes,84050_0064,"Immeuble : 53195 Lot : 24

Chemin du Moulin 
commune des Beaumettes","GORDES, France",84220,,,8.303777173860539,5.674696893761104,4.564348191467836,1.9459101490553132,gordes,2024,-2.143842810580307,0.9191221921818404,3
2284E0346327O,43.886216022406536,5.1675420499982625,38137.6,2134.1,11441.279999999999,165.0,9.0,E,B,Les Imberts 84220 Gordes,,,84220,Gordes,84050_7lah4v,"481 Chemin des PRES
Les Imberts",GORDES,84220,1947.0,,10.548982171611268,7.666268762973335,5.111987788356544,2.302585092994046,gordes,2024,0.6749669582371561,-0.539607071023954,2
2284E0234144V,43.886786975183654,5.214118027476111,33437.8,10024.8,10031.34,139.3,41.7,D,D,Chemin des Firmins 84220 Gordes,,Chemin des Firmins,84220,Gordes,84050_0269,Les Firmins,GORDES,84220,1995.0,,10.417472181387286,9.212917049489633,4.943782987108415,3.754198920234579,gordes,2024,1.9552324210318244,-0.5938126873280617,1
2284E0140586L,43.92254098622167,5.191523059325143,53691.9,15638.7,16107.57,197.0,57.0,E,E,1424 Route de Senanque 84220 Gordes,1424,Route de Senanque,84220,Gordes,84050_0810_01424,1424 Route de Senanque,GORDES,84220,1989.0,,10.89103605574075,9.657567832329656,5.288267030694535,4.060443010546419,gordes,2024,2.86554127120727,-0.5830192233636358,1
2284E1239139M,43.914051966290735,5.206395951148387,24323.7,1658.0,7297.11,141.0,9.0,E,B,460 Route Neuve 84220 Gordes,460,Route Neuve,84220,Gordes,84050_0600_00460,"460, Route Neuve",GORDES,84220,,,10.099247573987403,7.413970290190444,4.955827057601261,2.302585092994046,gordes,2024,0.17855625012498424,-0.31836743324183625,0
2284E0140457M,43.92254098622167,5.191523059325143,8728.3,663.2,2618.49,143.0,10.0,E,B,1424 Route de Senanque 84220 Gordes,1424,Route de Senanque,84220,Gordes,84050_0810_01424,"1424 Route de Senanque
Maison gardien",GORDES,84220,1989.0,,9.074440462342737,6.498583308942647,4.969813299576001,2.3978952727983707,gordes,2024,-0.7637196161915707,0.7235550318819826,0
2284E0332898B,43.89189003487697,5.165607048515493,18639.4,2582.1,5591.820000000001,63.0,8.0,C,B,2860 Chemin des Parties 84220 Gordes,2860,Chemin des Parties,84220,Gordes,84050_0640_02860,"2860 chemin des Parties
Les Imberts",GORDES,84220,1978.0,,9.833086547236805,7.8567455070193075,4.1588830833596715,2.1972245773362196,gordes,2024,-0.4566909549020333,-1.1615929045214521,0
2284E0915013C,43.904717968538705,5.22564796056743,7058.9,516.7,2117.6699999999996,80.0,5.0,D,A,212 Chemin des Pourquiers 84220 Gordes,212,Chemin des Pourquiers,84220,Gordes,84050_0710_00212,212 Chemin des Pourquiers,GORDES,84220,1983.0,,8.862186166081024,6.249395923907856,4.394449154672439,1.791759469228055,gordes,2024,-1.7791239670072114,0.11726520006324169,3
2284E0999972T,43.87804103723487,5.21063899615927,4176.4,301.4,1252.9199999999998,98.0,7.0,D,B,Ancien Chemin des Beaumettes 84220 Gordes,,,84220,Gordes,84050_0064,"Immeuble : 53195 Lot : 22 

Chemin du Moulin 
commune des Beaumettes","GORDES, France",84220,,,8.337444322421216,5.711750644305378,4.59511985013459,2.0794415416798357,gordes,2024,-2.0090825128668905,0.9689711305358178,3
2284E1490816J,43.87346800263829,5.178436988670281,17272.6,1290.2,5181.78,73.5,5.4,C,A,446 Chemin du Serre 84220 Gordes,446,Chemin du Serre,84220,Gordes,84050_0820_00446,du Serre,GORDES,84220,1985.0,,9.75693460338363,7.163327297515685,4.310799125385514,1.8562979903656263,gordes,2024,-0.8782124117237676,-0.8473385440275033,0
2284E0925614V,43.886216022406536,5.1675420499982625,21799.5,1685.8,6539.849999999999,169.0,13.0,F,C,Les Imberts 84220 Gordes,,,84220,Gordes,84050_7lah4v,Les Imberts,GORDES,84220,1947.0,,9.989688184293977,7.430588521872405,5.135798437050262,2.6390573296152584,gordes,2024,0.4475265771327988,0.06591323031975739,2
2284E0036866F,43.910964999200566,5.200610991381092,7745.5,591.2,2323.65,216.0,16.0,G,C,55 Rue Baptistin Picca 84220 Gordes,55,Rue Baptistin Picca,84220,Gordes,84050_0035_00055,"55, Rue Baptistin PICA",GORDES,84220,1947.0,,8.954996407436347,6.383844415667491,5.37989735354046,2.833213344056216,gordes,2024,-0.3259606652414047,1.4362428885065264,2
